no,level,salary,huyou,jukyo,tsukin,nichgakutokukin,jikangai,yakan,kanri,kanritokukin,bonus,shoteate,jinkenhi
1146,2,189540,0,0,7400,4060,6764,3718,0,0,545379,283601,3880724
1147,2,195585,15600,30100,9800,7260,6980,4886,0,0,611751,294194,4520405
1148,2,189540,14000,0,2900,2830,6764,3718,0,0,545379,283601,4000124
1149,2,186225,0,0,14600,9500,16281,4316,0,0,545379,239960,4061375
1150,1,174832,0,30100,9323,7130,7800,3744,0,0,496926,258366,4024476
1151,1,166894,0,0,9800,6650,7743,3874,0,0,438398,86245,3104499
1152,1,188650,29600,30100,20603,2030,23229,3370,0,0,628853,281578,4882959
1153,1,174832,21800,0,5000,5080,4680,3744,0,0,550220,258366,3673358
1154,1,174832,0,0,7400,4380,4680,4056,0,0,496926,258366,3452256
1155,1,174832,14000,30100,5000,6880,8424,4680,0,0,538208,258366,4217762
1156,1,174832,0,0,12200,5790,8112,4056,0,0,496926,258366,3709416
1157,1,174832,21800,30100,17000,5360,4680,4368,0,0,530498,258366,4169684
1158,6,405327,34600,15300,7400,0,32544,0,0,0,1447676,700658,8723878
1159,6,404209,52100,15300,9504,0,25242,0,0,0,1494296,698064,8925704
1160,2,228053,0,18100,3780,0,0,0,0,0,657425,341865,4326878
1161,3,263064,0,0,9225,0,4694,0,0,0,748062,388680,4839342
1162,2,228053,0,0,5000,2500,126922,0,0,0,657425,341865,5677382
1163,2,212453,0,30100,7056,0,112038,0,0,0,608258,316145,5570095
1164,2,205433,0,18100,11903,0,35330,0,0,0,589596,306475,4441075
1165,3,241433,7800,18100,3780,0,144572,0,0,0,710868,357487,6415459
1166,2,228053,0,30100,0,2500,55166,0,0,0,657425,341865,5117510
1167,3,232703,7800,18100,13613,3600,268618,0,0,0,686153,344677,8044878
1168,2,216158,0,0,13608,0,6016,0,0,0,239938,0,3380578
1169,2,205433,0,30100,3780,2500,114378,0,0,0,589596,306475,5466175
1170,3,263064,7800,15300,4031,0,22811,0,0,0,771062,388680,5305850
1171,2,212453,0,30100,0,2820,43818,0,0,0,613188,318861,4708269
1172,2,220253,11200,15300,9575,0,31986,0,0,0,667169,329758,4789983
1173,2,243360,0,0,13581,0,0,0,0,0,703696,365927,4503351
1174,2,198803,0,30100,3780,0,52768,0,0,0,571805,297259,4580748
1175,3,232703,0,30100,8550,2700,124560,0,0,0,663153,344677,6126274
1176,3,232703,0,18100,6800,4140,47082,0,0,0,663153,344677,5048818
1177,2,235755,0,30100,8590,0,69984,0,0,0,680707,353971,5507306
1178,2,228053,14000,30100,3780,0,46220,0,0,0,698708,341865,5254961
1179,2,203775,7800,15300,16631,2500,12944,0,0,0,188129,88816,3689013
1180,2,207188,21800,30100,3780,0,25208,0,0,0,613984,308892,4709524
1181,2,220253,0,15300,5040,0,0,0,0,0,521749,175354,3901379
1182,2,212453,0,30100,7056,0,13494,0,0,0,613188,318861,4395213
1183,2,243360,0,30100,5000,0,58532,0,0,0,703696,365927,5463963
1184,2,220253,0,30100,9833,3060,58474,0,0,0,634143,329758,5141701
1185,2,192465,0,30100,0,0,49994,0,0,0,552074,287039,4386961
1186,2,192465,0,0,15319,0,13943,0,0,0,552074,287039,3776977
1187,2,192465,0,0,3780,0,0,0,0,0,552074,287039,3471193
1188,2,192465,0,0,14859,0,74449,0,0,0,552074,287039,4497529
1189,2,192465,0,0,9963,0,43674,0,0,0,552074,287039,4069477
1190,2,192465,0,0,17988,0,22528,0,0,0,552074,287039,3912025
1191,2,192465,0,0,11903,0,37016,0,0,0,552074,287039,4012861
1192,2,192465,0,30100,3780,0,78563,0,0,0,552074,287039,4775149
1193,2,192465,0,0,16631,0,8585,0,0,0,552074,287039,3728425
1194,1,181888,0,30100,9833,0,0,0,0,0,209171,129664,3262599
1195,2,192465,0,0,8893,2200,119500,0,0,0,552074,287039,4992949
1196,2,192465,0,0,11297,0,3434,0,0,0,552074,287039,3602605
1197,2,192465,0,0,7560,2200,57894,0,0,0,552074,287039,4237681
1198,2,192465,0,0,20379,0,53227,0,0,0,552074,287039,4309105
1199,2,192465,0,0,8893,0,45327,0,0,0,552074,287039,4076473
1200,2,192465,0,30100,2900,0,85640,0,0,0,552074,287039,4849513
1201,2,192465,0,0,3780,0,7142,0,0,0,552074,287039,3556897
1202,2,192465,0,0,6680,2200,87083,0,0,0,552074,287039,4577389
1203,2,198803,0,30100,3780,0,10780,0,0,0,574482,298734,4081044
1204,2,192465,0,0,15714,0,17377,0,0,0,552074,287039,3822925
1205,2,205433,0,0,4536,2500,16862,0,0,0,593400,308571,3949755
1206,2,220253,7800,18100,3780,0,0,0,0,0,646155,329758,4303501
1207,3,249872,37100,15300,12646,0,48413,0,0,0,813095,365927,5952226
1208,1,155820,0,0,9833,2860,38528,0,0,0,447029,232423,3388320
1209,1,155820,0,30100,14873,0,50040,0,0,0,447029,232423,3913824
1210,1,155820,0,30100,13007,0,0,0,0,0,462807,232423,3306730
1211,2,175890,0,30100,4031,2200,84785,0,0,0,496926,258366,4572636
1212,2,192465,0,30100,5040,240,34340,0,0,0,552074,287039,4262473
1213,4,338246,0,30100,8550,0,9051,0,0,0,1051366,547094,6716892
1214,2,192465,0,0,3780,2500,3434,0,0,0,552074,287039,3542401
1215,2,192465,0,0,7400,4260,5151,5145,0,0,552074,287039,3956281
1216,1,162974,0,0,2900,4540,6107,3783,0,0,463953,241222,3310735
1217,2,179205,0,30100,5000,2230,4797,3200,0,0,509181,264738,3809247
1218,2,179205,0,0,12200,10120,13111,4800,0,0,509181,264738,3768819
1219,2,192465,14000,30100,5000,2860,10302,4116,0,0,552074,287039,4309273
1220,5,387090,12800,15300,7560,0,17265,0,0,0,1319761,667464,7843237
1221,5,384285,14000,15300,13113,0,30852,0,0,0,1312383,661781,8038292
1222,1,187180,0,0,23688,0,27124,0,0,0,535442,278392,3939270
1223,1,193060,0,0,11903,3600,161268,0,0,0,557327,289770,5607713
1224,1,198646,0,30100,7811,3600,90584,0,0,0,519331,283582,5057849
1225,1,187180,0,30100,0,0,22774,0,0,0,483741,264148,3898069
1226,1,187180,0,0,13319,0,143019,0,0,0,483741,264148,5139637
1227,1,168952,0,0,8123,0,16939,0,0,0,433126,236510,3241092
1228,2,237510,0,0,22225,0,11102,0,0,0,533752,308736,4434544
1229,1,185416,21800,30100,14856,2560,4962,2317,0,0,397273,221416,4168361
1230,1,171010,0,0,0,2910,6409,2745,0,0,324932,202954,3030354
1231,1,155820,0,0,20640,3710,4170,4448,0,0,298272,186302,3172538
1232,1,185416,0,30100,5000,5660,6947,5296,0,0,354488,221416,3811080
1233,1,185416,0,0,5000,4350,28711,5958,0,0,354488,221416,3703272
1234,1,185416,0,0,5000,5390,8601,4634,0,0,354488,221416,3351384
1235,1,155820,0,0,9800,4390,4170,3336,0,0,298272,186302,2911190
1236,1,185416,0,0,15319,0,49620,0,0,0,354488,221416,3847152
1237,1,185416,0,0,27621,0,14024,0,0,0,354488,221416,3567624
1238,1,185416,0,0,28525,0,18194,0,0,0,354488,221416,3628512
1239,1,185416,0,30100,11046,0,61392,0,0,0,354488,221416,4298340
1240,1,185416,0,30100,11903,0,49216,0,0,0,354488,221416,4162512
1241,1,185416,0,30100,3780,0,10188,0,0,0,354488,221416,3596700
1242,2,205433,14000,30100,19666,0,7624,0,0,0,419056,244583,4301487
1243,2,212453,0,0,11979,0,54955,0,0,0,403170,251823,4313565
1244,1,185416,0,0,13391,0,0,0,0,0,354488,221416,3228576
1245,1,185416,0,30100,0,0,19979,0,0,0,354488,221416,3668832
1246,1,150136,0,30100,4536,1000,83554,0,0,0,287841,179786,3915731
1247,1,150136,0,30100,12537,0,0,0,0,0,287841,179786,2997095
1248,1,185416,0,0,2900,0,31620,0,0,0,354488,221416,3482124
1249,1,203056,0,0,8550,0,36439,0,0,0,391580,244583,3905095
1250,1,185416,0,30100,5000,0,15546,0,0,0,354488,221416,3675636
1251,1,185416,0,0,7515,1900,35588,0,0,0,354488,221416,3607920
1252,1,185416,0,0,0,0,36582,0,0,0,354488,221416,3506868
1253,1,185416,0,0,9833,0,41940,0,0,0,354488,221416,3689160
1254,1,185416,0,30100,5040,0,44854,0,0,0,354488,221416,4027812
1255,1,185416,0,30100,3780,0,66354,0,0,0,354488,221416,4270692
1256,1,191590,0,0,16884,0,51270,0,0,0,368977,230465,3992250
1257,1,185416,0,30100,3780,0,65492,0,0,0,354488,221416,4260348
1258,1,185416,0,0,9865,3600,6616,0,0,0,354488,221416,3308856
1259,1,185416,0,0,3780,3600,169044,0,0,0,354488,221416,5270700
1260,1,185416,0,0,3780,0,48556,0,0,0,354488,221416,3695916
1261,1,185416,0,0,7056,2200,59608,0,0,0,354488,221416,3894252
1262,1,185416,0,30100,12951,3600,79392,0,0,0,354488,221416,4580400
1263,1,185416,0,30100,11538,0,11510,0,0,0,354488,221416,3705660
1264,1,209524,0,0,18824,2000,0,0,0,0,405102,253029,3724011
1265,7,401128,26800,15300,11903,0,0,0,74860,0,1483459,731831,9299190
1266,7,403585,12800,0,7400,0,0,0,74860,0,1449729,735766,8876623
1267,7,403585,12800,15300,7056,0,0,0,74860,0,1449729,735766,9056095
1268,5,381854,0,0,11046,0,23842,0,0,0,1263616,657884,7472268
1269,5,337161,29600,18100,11903,0,27072,0,0,0,1189008,573597,7376769
1270,5,385033,0,18100,11046,0,30915,0,0,0,1273908,663241,7832713
1271,5,396253,0,18100,3025,0,14140,0,0,0,1387451,683055,7819322
1272,1,194432,0,30100,3025,0,33158,0,0,0,89193,87571,3585316
1273,1,181888,0,30100,5040,3600,33626,0,0,0,83081,81570,3477611
1274,1,211386,0,30100,4536,0,29346,0,0,0,97026,95262,3801096
1275,1,188650,0,0,20730,3600,116322,0,0,0,86476,84904,4394660
1276,1,211386,14000,30100,2900,0,69103,0,0,0,103494,95262,4453176
1277,1,188650,0,0,11903,2200,95931,0,0,0,86476,84904,4027244
1278,1,236278,7800,15300,3780,0,10876,0,0,0,112447,106864,3859187
1279,1,220990,7800,18100,6800,0,68520,0,0,0,105157,99707,4400832
1280,1,240198,0,18100,0,0,77399,0,0,0,110971,108953,4594164
1281,1,220990,23100,30100,3780,2520,4258,0,0,0,112225,99707,3980388
1282,1,216580,0,30100,0,2200,122874,0,0,0,99516,97707,4970139
1283,1,181888,0,0,15884,0,312906,0,0,0,83081,81570,6554699
1284,1,181888,0,0,19408,0,1623,0,0,0,83081,81570,2861591
1285,1,211386,0,30100,3780,3600,11618,0,0,0,97026,95262,3622488
1286,1,233142,0,0,5040,0,0,0,0,0,107304,105353,3406565
1287,1,205898,0,30100,11853,0,45555,0,0,0,94490,92772,4004618
1288,1,211386,0,0,25151,0,29346,0,0,0,97026,95262,3687276
1289,1,220990,0,15300,3780,0,18055,0,0,0,101553,99707,3616976
1290,1,240198,29600,18100,3780,0,56311,0,0,0,124646,108953,4797967
1291,1,240198,29600,15300,12873,0,38656,0,0,0,124646,108953,4661623
1292,1,185416,0,18100,5000,0,13628,0,0,0,84847,83304,3100867
1293,1,231476,0,0,8976,0,19079,0,0,0,106488,104552,3658736
1294,1,190120,0,0,10580,0,13976,0,0,0,87835,71865,3009580
1295,1,198646,0,0,9833,0,56142,0,0,0,0,0,3461496
1296,1,204526,0,30100,7056,0,0,0,0,0,0,0,3194700
1297,1,179830,0,0,13163,1660,25995,0,0,0,0,0,2906724
1298,1,179830,0,0,16659,0,4812,0,0,0,0,0,2674560
1299,1,179830,0,0,13824,0,12832,0,0,0,0,0,2736780
1300,1,179830,0,0,3780,0,8662,0,0,0,0,0,2566212
1301,1,179830,0,0,8550,1500,0,0,0,0,0,0,2537508
1302,1,179830,0,0,12060,0,6995,0,0,0,0,0,2645568
1303,1,179830,0,0,7560,0,4812,0,0,0,0,0,2565372
1304,1,179830,0,0,21420,3600,52932,0,0,0,0,0,3352332
1305,1,179830,0,0,13239,0,0,0,0,0,0,0,2575776
1306,1,179830,0,0,8590,3600,6416,0,0,0,0,0,2640180
1307,1,179830,0,30100,3780,0,49724,0,0,0,0,0,3420156
1308,1,179830,0,0,27216,0,0,0,0,0,0,0,2743500
1309,1,179830,0,0,9833,0,8020,0,0,0,0,0,2631144
