no,level,salary,huyou,jukyo,tsukin,nichgakutokukin,jikangai,yakan,kanri,kanritokukin,bonus,shoteate,jinkenhi
1191,Åh02,192465,0,0,11903,0,37016,0,0,0,552074,287039,4012861
1192,Åh02,192465,0,30100,3780,0,78563,0,0,0,552074,287039,4775149
1193,Åh02,192465,0,0,16631,0,8585,0,0,0,552074,287039,3728425
1194,Åh01,181888,0,30100,9833,0,0,0,0,0,209171,129664,3262599
1195,Åh02,192465,0,0,8893,2200,119500,0,0,0,552074,287039,4992949
1196,Åh02,192465,0,0,11297,0,3434,0,0,0,552074,287039,3602605
1197,Åh02,192465,0,0,7560,2200,57894,0,0,0,552074,287039,4237681
1198,Åh02,192465,0,0,20379,0,53227,0,0,0,552074,287039,4309105
1199,Åh02,192465,0,0,8893,0,45327,0,0,0,552074,287039,4076473
1200,Åh02,192465,0,30100,2900,0,85640,0,0,0,552074,287039,4849513
1201,Åh02,192465,0,0,3780,0,7142,0,0,0,552074,287039,3556897
1202,Åh02,192465,0,0,6680,2200,87083,0,0,0,552074,287039,4577389
1203,Åh02,198803,0,30100,3780,0,10780,0,0,0,574482,298734,4081044
1204,Åh02,192465,0,0,15714,0,17377,0,0,0,552074,287039,3822925
1205,Åh02,205433,0,0,4536,2500,16862,0,0,0,593400,308571,3949755
1206,Åh02,220253,7800,18100,3780,0,0,0,0,0,646155,329758,4303501
1207,Åh03,249872,37100,15300,12646,0,48413,0,0,0,813095,365927,5952226
1208,Åh01,155820,0,0,9833,2860,38528,0,0,0,447029,232423,3388320
1209,Åh01,155820,0,30100,14873,0,50040,0,0,0,447029,232423,3913824
1210,Åh01,155820,0,30100,13007,0,0,0,0,0,462807,232423,3306730
1211,Åh02,175890,0,30100,4031,2200,84785,0,0,0,496926,258366,4572636
1212,Åh02,192465,0,30100,5040,240,34340,0,0,0,552074,287039,4262473
1213,Åh04,338246,0,30100,8550,0,9051,0,0,0,1051366,547094,6716892
1214,Åh02,192465,0,0,3780,2500,3434,0,0,0,552074,287039,3542401
1215,Åh02,192465,0,0,7400,4260,5151,5145,0,0,552074,287039,3956281
1216,Åh01,162974,0,0,2900,4540,6107,3783,0,0,463953,241222,3310735
1217,Åh02,179205,0,30100,5000,2230,4797,3200,0,0,509181,264738,3809247
1218,Åh02,179205,0,0,12200,10120,13111,4800,0,0,509181,264738,3768819
1219,Åh02,192465,14000,30100,5000,2860,10302,4116,0,0,552074,287039,4309273
1220,Åh05,387090,12800,15300,7560,0,17265,0,0,0,1319761,667464,7843237
1221,Åh05,384285,14000,15300,13113,0,30852,0,0,0,1312383,661781,8038292
1222,Åh01,187180,0,0,23688,0,27124,0,0,0,535442,278392,3939270
1223,Åh01,193060,0,0,11903,3600,161268,0,0,0,557327,289770,5607713
1224,Åh01,198646,0,30100,7811,3600,90584,0,0,0,519331,283582,5057849
1225,Åh01,187180,0,30100,0,0,22774,0,0,0,483741,264148,3898069
1226,Åh01,187180,0,0,13319,0,143019,0,0,0,483741,264148,5139637
1227,Åh01,168952,0,0,8123,0,16939,0,0,0,433126,236510,3241092
1228,Åh02,237510,0,0,22225,0,11102,0,0,0,533752,308736,4434544
1229,Åh01,185416,21800,30100,14856,2560,4962,2317,0,0,397273,221416,4168361
1230,Åh01,171010,0,0,0,2910,6409,2745,0,0,324932,202954,3030354
1231,Åh01,155820,0,0,20640,3710,4170,4448,0,0,298272,186302,3172538
1232,Åh01,185416,0,30100,5000,5660,6947,5296,0,0,354488,221416,3811080
1233,Åh01,185416,0,0,5000,4350,28711,5958,0,0,354488,221416,3703272
1234,Åh01,185416,0,0,5000,5390,8601,4634,0,0,354488,221416,3351384
1235,Åh01,155820,0,0,9800,4390,4170,3336,0,0,298272,186302,2911190
1236,Åh01,185416,0,0,15319,0,49620,0,0,0,354488,221416,3847152
1237,Åh01,185416,0,0,27621,0,14024,0,0,0,354488,221416,3567624
1238,Åh01,185416,0,0,28525,0,18194,0,0,0,354488,221416,3628512
1239,Åh01,185416,0,30100,11046,0,61392,0,0,0,354488,221416,4298340
1240,Åh01,185416,0,30100,11903,0,49216,0,0,0,354488,221416,4162512
1241,Åh01,185416,0,30100,3780,0,10188,0,0,0,354488,221416,3596700
1242,Åh02,205433,14000,30100,19666,0,7624,0,0,0,419056,244583,4301487
1243,Åh02,212453,0,0,11979,0,54955,0,0,0,403170,251823,4313565
1244,Åh01,185416,0,0,13391,0,0,0,0,0,354488,221416,3228576
1245,Åh01,185416,0,30100,0,0,19979,0,0,0,354488,221416,3668832
1246,Åh01,150136,0,30100,4536,1000,83554,0,0,0,287841,179786,3915731
1247,Åh01,150136,0,30100,12537,0,0,0,0,0,287841,179786,2997095
1248,Åh01,185416,0,0,2900,0,31620,0,0,0,354488,221416,3482124
1249,Åh01,203056,0,0,8550,0,36439,0,0,0,391580,244583,3905095
1250,Åh01,185416,0,30100,5000,0,15546,0,0,0,354488,221416,3675636
1251,Åh01,185416,0,0,7515,1900,35588,0,0,0,354488,221416,3607920
1252,Åh01,185416,0,0,0,0,36582,0,0,0,354488,221416,3506868
1253,Åh01,185416,0,0,9833,0,41940,0,0,0,354488,221416,3689160
1254,Åh01,185416,0,30100,5040,0,44854,0,0,0,354488,221416,4027812
1255,Åh01,185416,0,30100,3780,0,66354,0,0,0,354488,221416,4270692
1256,Åh01,191590,0,0,16884,0,51270,0,0,0,368977,230465,3992250
1257,Åh01,185416,0,30100,3780,0,65492,0,0,0,354488,221416,4260348
1258,Åh01,185416,0,0,9865,3600,6616,0,0,0,354488,221416,3308856
1259,Åh01,185416,0,0,3780,3600,169044,0,0,0,354488,221416,5270700
1260,Åh01,185416,0,0,3780,0,48556,0,0,0,354488,221416,3695916
1261,Åh01,185416,0,0,7056,2200,59608,0,0,0,354488,221416,3894252
1262,Åh01,185416,0,30100,12951,3600,79392,0,0,0,354488,221416,4580400
1263,Åh01,185416,0,30100,11538,0,11510,0,0,0,354488,221416,3705660
1264,Åh01,209524,0,0,18824,2000,0,0,0,0,405102,253029,3724011
